trial_id,condition_id,calibration_id,phase_code_id,receiver_id,preparation_id,hidden_label,click_mask,source_herald_time,gate_open_time,gate_close_time,energy_bound_id,quality_flags,mode_count,record_status
SYNTHETIC-0000000,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000001,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000002,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,3,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000003,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,2,4,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000004,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,0,1,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000005,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,0,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000006,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000007,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,2,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000008,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,3,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
SYNTHETIC-0000009,P2_severe_imbalance,EXAMPLE_ONLY,physical_four_one_pi_flips_common_optical_phase,coherent_displacement_nulling_fixed,p2,0,0,,,,EXAMPLE_ONLY,NONE,4,SYNTHETIC_NOT_AN_EXPERIMENT
